Tradeno,Date,Shares,Symbol,Open,High,Low,Close,Volume,Range,Change,StratOrder,bhBalance,Strat_Balance,Strat_Profits,WinLoss,Win,Loss,Strat_Drawdown,bhDrawdown,bhreturn,bhreturnpct,strategy_return,stratreturnpct
4,2020-07-09,1000,TQQQ,28.85,29.17,27.47,28.92,158798000,1.7,0.07,Buy,28920.0,26900.0,70.00000000000028,Win,70.00000000000028,0.0,46650.0,55970.0,0.07111111111111111,7.111111111111111,0.002609019754006709,0.2609019754006709
8,2020-07-15,1000,TQQQ,28.72,29.06,27.35,28.44,183772000,1.71,-0.28,Buy,28440.0,26620.000000000004,-279.9999999999976,Loss,0.0,-279.9999999999976,46930.0,56450.0,0.05333333333333334,5.333333333333334,-0.007827059262019992,-0.7827059262019992
11,2020-07-20,1000,TQQQ,28.2,30.56,27.77,30.34,125810800,2.79,2.14,Buy,30340.0,28760.000000000004,2140.0000000000005,Win,2140.0000000000005,0.0,44790.0,54550.0,0.1237037037037037,12.37037037037037,0.07193440178904226,7.1934401789042255
20,2020-07-31,1000,TQQQ,29.83,29.88,28.22,29.84,179907600,1.66,0.01,Buy,29840.0,28770.000000000004,10.000000000001563,Win,10.000000000001563,0.0,44780.0,55050.0,0.10518518518518519,10.518518518518519,0.07230711889675749,7.230711889675749
29,2020-08-13,1000,TQQQ,32.02,32.79,31.63,31.98,117140800,1.16,-0.04,Buy,31980.0,28730.000000000004,-40.0000000000027,Loss,0.0,-40.0000000000027,44820.0,52910.0,0.18444444444444444,18.444444444444443,0.07081625046589653,7.081625046589653
60,2020-09-28,1000,TQQQ,32.32,32.5,31.39,32.43,136665600,1.11,0.11,Buy,32430.0,28840.0,109.99999999999943,Win,109.99999999999943,0.0,44710.0,52460.0,0.2011111111111111,20.11111111111111,0.07491613865076407,7.491613865076408
87,2020-11-04,1000,TQQQ,33.9,35.66,33.33,35.02,169187600,2.33,1.12,Buy,35020.0,29960.000000000007,1120.0000000000045,Win,1120.0000000000045,0.0,43589.99999999999,49870.0,0.29703703703703704,29.703703703703706,0.11666045471487169,11.666045471487168
115,2020-12-15,1000,TQQQ,42.15,42.5,41.23,42.47,78708800,1.27,0.32,Buy,42470.0,30280.000000000007,320.0000000000003,Win,320.0000000000003,0.0,43269.99999999999,42420.0,0.572962962962963,57.2962962962963,0.12858740216175948,12.85874021617595
131,2021-01-08,1000,TQQQ,46.83,47.72,45.85,47.57,76407600,1.87,0.74,Buy,47570.0,31020.000000000007,740.000000000002,Win,740.000000000002,0.0,42529.99999999999,37320.0,0.7618518518518519,76.18518518518519,0.15616846813268756,15.616846813268756
138,2021-01-20,1000,TQQQ,47.93,49.94,47.76,49.49,60868000,2.18,1.56,Buy,49490.0,32580.00000000001,1560.0000000000023,Win,1560.0000000000023,0.0,40969.999999999985,35400.0,0.832962962962963,83.2962962962963,0.21431233693626578,21.431233693626577
147,2021-02-02,1000,TQQQ,49.94,51.48,49.88,50.91,46373200,1.6,0.97,Buy,50910.0,33550.00000000001,969.9999999999989,Win,969.9999999999989,0.0,39999.99999999999,33980.0,0.8855555555555555,88.55555555555556,0.25046589638464434,25.046589638464432
173,2021-03-11,1000,TQQQ,44.51,46.13,44.07,45.39,79467800,2.06,0.88,Buy,45390.0,34430.000000000015,880.0000000000025,Win,880.0000000000025,0.0,39119.999999999985,39500.0,0.6811111111111111,68.11111111111111,0.2832650018635861,28.32650018635861
181,2021-03-23,1000,TQQQ,46.03,46.62,44.58,44.95,93890400,2.04,-1.08,Buy,44950.0,33350.000000000015,-1079.9999999999982,Loss,0.0,-1079.9999999999982,40199.999999999985,39940.0,0.6648148148148149,66.48148148148148,0.2430115542303397,24.301155423033972
187,2021-03-31,1000,TQQQ,44.4,46.3,44.26,45.63,80984400,2.04,1.23,Buy,45630.0,34580.000000000015,1230.000000000004,Win,1230.000000000004,0.0,38969.999999999985,39260.0,0.69,69.0,0.2888557584793147,28.88557584793147
204,2021-04-26,1000,TQQQ,54.65,55.74,54.28,55.61,49988400,1.46,0.96,Buy,55610.0,35540.000000000015,960.0000000000009,Win,960.0000000000009,0.0,38009.999999999985,29280.0,1.0596296296296297,105.96296296296298,0.3246366008199782,32.46366008199782
222,2021-05-20,1000,TQQQ,47.03,49.43,46.92,49.03,69613200,2.51,2.0,Buy,49030.0,37540.000000000015,2000.0,Win,2000.0,0.0,36009.999999999985,35860.0,0.8159259259259259,81.5925925925926,0.399180022363027,39.918002236302705
232,2021-06-04,1000,TQQQ,50.31,52.19,50.26,51.99,45587600,1.93,1.68,Buy,51990.0,39220.000000000015,1679.9999999999998,Win,1679.9999999999998,0.0,34329.999999999985,32900.0,0.9255555555555556,92.55555555555556,0.461796496459188,46.1796496459188
265,2021-07-22,1000,TQQQ,64.93,66.1,64.92,66.08,47478800,1.18,1.15,Buy,66080.0,40370.00000000001,1149.9999999999914,Win,1149.9999999999914,0.0,33179.99999999999,18810.0,1.4474074074074075,144.74074074074076,0.5046589638464408,50.46589638464408
273,2021-08-03,1000,TQQQ,66.72,67.6,64.93,67.5,63417800,2.67,0.78,Buy,67500.0,41150.000000000015,780.0000000000011,Win,780.0000000000011,0.0,32399.999999999985,17390.0,1.5,150.0,0.5337308982482302,53.37308982482302
281,2021-08-13,1000,TQQQ,68.09,68.81,67.82,68.57,36644800,0.99,0.48,Buy,68570.0,41630.0,479.99999999998977,Win,479.99999999998977,0.0,31920.0,16320.0,1.5396296296296297,153.96296296296296,0.5516213194185613,55.16213194185613
287,2021-08-23,1000,TQQQ,68.51,71.35,68.5,70.93,48266200,2.85,2.42,Buy,70930.0,44050.0,2420.000000000002,Win,2420.000000000002,0.0,29500.0,13960.0,1.627037037037037,162.7037037037037,0.6418188594856504,64.18188594856504
310,2021-09-24,1000,TQQQ,69.36,71.12,69.15,70.89,54775200,1.97,1.53,Buy,70890.0,45580.0,1530.0000000000011,Win,1530.0000000000011,0.0,27970.0,14000.0,1.6255555555555556,162.55555555555557,0.6988445769660827,69.88445769660827
320,2021-10-08,1000,TQQQ,65.33,65.46,63.49,63.74,78566000,1.97,-1.59,Buy,63740.0,43990.0,-1589.9999999999964,Loss,0.0,-1589.9999999999964,29560.0,21150.0,1.3607407407407408,136.07407407407408,0.6395825568393589,63.958255683935896
324,2021-10-14,1000,TQQQ,65.06,66.72,64.7,66.62,60875000,2.02,1.56,Buy,66620.0,45550.00000000001,1560.0000000000023,Win,1560.0000000000023,0.0,27999.999999999993,18270.0,1.4674074074074075,146.74074074074076,0.6977264256429373,69.77264256429373
346,2021-11-15,1000,TQQQ,83.46,83.65,81.04,82.7,69729200,2.61,-0.76,Buy,82700.0,44790.000000000015,-759.9999999999909,Loss,0.0,-759.9999999999909,28759.999999999985,2190.0,2.062962962962963,206.29629629629628,0.669399925456579,66.9399925456579
362,2021-12-08,1000,TQQQ,83.94,85.0,82.74,84.89,102621800,2.26,0.95,Buy,84890.0,45740.000000000015,950.0000000000028,Win,950.0000000000028,0.0,27809.999999999985,0.0,2.1440740740740742,214.40740740740742,0.7048080506895272,70.48080506895272
372,2021-12-22,1000,TQQQ,77.79,81.0,77.41,80.82,88611400,3.59,3.03,Buy,80820.0,48770.0,3029.999999999987,Win,3029.999999999987,0.0,24780.0,4070.0,1.9933333333333334,199.33333333333334,0.8177413343272456,81.77413343272455
398,2022-01-31,1000,TQQQ,57.05,62.06,56.22,61.83,113751100,5.84,4.78,Buy,61830.0,53550.0,4780.000000000001,Win,4780.000000000001,0.0,20000.0,23060.0,1.29,129.0,0.9959001118151323,99.59001118151323
417,2022-02-28,1000,TQQQ,50.46,53.19,49.92,52.46,121700500,3.27,2.0,Buy,52460.0,55550.0,2000.0,Win,2000.0,0.0,18000.0,32430.0,0.942962962962963,94.2962962962963,1.0704435333581812,107.04435333581812
419,2022-03-02,1000,TQQQ,50.67,53.05,49.42,52.43,109747900,3.63,1.76,Buy,52430.0,57310.0,1759.999999999998,Win,1759.999999999998,0.0,16240.0,32460.0,0.9418518518518518,94.18518518518518,1.1360417443160642,113.60417443160642
429,2022-03-16,1000,TQQQ,45.16,48.48,43.69,48.44,163087500,4.79,3.28,Buy,48440.0,60590.0,3280.000000000001,Win,3280.000000000001,0.0,12960.0,36450.0,0.794074074074074,79.4074074074074,1.2582929556466642,125.82929556466642
480,2022-05-27,1000,TQQQ,31.3,33.34,31.27,33.29,157517900,2.07,1.99,Buy,33290.0,62580.0,1989.9999999999984,Win,1989.9999999999984,0.0,10970.0,51600.0,0.23296296296296296,23.296296296296294,1.3324636600819977,133.24636600819977
497,2022-06-23,1000,TQQQ,24.94,25.57,24.17,25.33,182686400,1.4,0.39,Buy,25330.0,62970.0,389.99999999999704,Win,389.99999999999704,0.0,10580.0,59560.0,-0.06185185185185185,-6.185185185185185,1.3469996272828924,134.69996272828922
505,2022-07-06,1000,TQQQ,25.77,26.72,25.28,26.14,206122900,1.44,0.37,Buy,26140.0,63340.0,370.000000000001,Win,370.000000000001,0.0,10210.0,58750.0,-0.03185185185185185,-3.185185185185185,1.3607901602683563,136.07901602683563
512,2022-07-15,1000,TQQQ,26.27,26.85,25.81,26.79,154380200,1.04,0.52,Buy,26790.0,63860.0,519.9999999999995,Win,519.9999999999995,0.0,9690.0,58100.0,-0.0077777777777777776,-0.7777777777777778,1.380171449869549,138.0171449869549
551,2022-09-09,1000,TQQQ,28.68,30.02,28.66,29.84,149367900,1.36,1.16,Buy,29840.0,65020.0,1160.0000000000002,Win,1160.0000000000002,0.0,8530.0,55050.0,0.10518518518518519,10.518518518518519,1.4234066343645173,142.34066343645173
568,2022-10-04,1000,TQQQ,21.9,22.77,21.89,22.58,231661800,0.88,0.68,Buy,22580.0,65700.0,679.9999999999998,Win,679.9999999999998,0.0,7850.0,62310.0,-0.1637037037037037,-16.37037037037037,1.448751397689154,144.8751397689154
578,2022-10-18,1000,TQQQ,20.87,21.0,19.17,19.78,346276900,1.83,-1.09,Buy,19780.0,64610.0,-1089.9999999999998,Loss,0.0,-1089.9999999999998,8940.0,65110.0,-0.2674074074074074,-26.740740740740744,1.4081252329481924,140.81252329481924
595,2022-11-10,1000,TQQQ,20.15,21.54,19.7,21.45,328442400,1.84,1.3,Buy,21450.0,65910.0,1300.0000000000007,Win,1300.0000000000007,0.0,7640.0,63440.0,-0.20555555555555555,-20.555555555555554,1.4565784569511742,145.65784569511743
608,2022-11-30,1000,TQQQ,20.85,23.65,20.65,23.56,272734900,3.0,2.71,Buy,23560.0,68620.0,2709.9999999999973,Win,2709.9999999999973,0.0,4930.0,61330.0,-0.1274074074074074,-12.74074074074074,1.5575847931420053,155.7584793142005
618,2022-12-14,1000,TQQQ,22.21,22.99,21.08,21.8,289455500,1.91,-0.41,Buy,21800.0,68210.0,-410.0000000000001,Loss,0.0,-410.0000000000001,5340.0,63090.0,-0.1925925925925926,-19.25925925925926,1.5423033917256803,154.23033917256802
634,2023-01-09,1000,TQQQ,18.08,18.96,17.89,18.01,186021400,1.07,-0.07,Buy,18010.0,68140.0,-69.99999999999673,Loss,0.0,-69.99999999999673,5410.0,66880.0,-0.33296296296296296,-33.2962962962963,1.5396943719716736,153.96943719716737
659,2023-02-14,1000,TQQQ,24.54,25.74,24.05,25.49,255737200,1.69,0.95,Buy,25490.0,69090.0,949.9999999999993,Win,949.9999999999993,0.0,4460.0,59400.0,-0.05592592592592593,-5.592592592592593,1.5751024972046217,157.51024972046218
671,2023-03-03,1000,TQQQ,22.5,23.53,22.38,23.46,151676600,1.15,0.96,Buy,23460.0,70050.0,960.0000000000009,Win,960.0000000000009,0.0,3500.0,61430.0,-0.13111111111111112,-13.111111111111112,1.610883339545285,161.0883339545285
679,2023-03-15,1000,TQQQ,22.17,23.22,21.83,23.11,274559400,1.39,0.94,Buy,23110.0,70990.0,939.9999999999977,Win,939.9999999999977,0.0,2560.0,61780.0,-0.14407407407407408,-14.407407407407408,1.6459187476705182,164.59187476705182
700,2023-04-14,1000,TQQQ,27.21,27.93,26.7,27.47,142666100,1.23,0.26,Buy,27470.0,71250.0,259.999999999998,Win,259.999999999998,0.0,2300.0,57420.0,0.017407407407407406,1.7407407407407407,1.6556093924711144,165.56093924711143
710,2023-04-28,1000,TQQQ,27.64,28.28,27.33,28.25,130536100,0.95,0.61,Buy,28250.0,71860.0,609.9999999999994,Win,609.9999999999994,0.0,1690.0,56640.0,0.046296296296296294,4.62962962962963,1.6783451360417443,167.83451360417442
715,2023-05-05,1000,TQQQ,27.12,28.46,27.03,28.21,97627100,1.43,1.09,Buy,28210.0,72950.0,1089.9999999999998,Win,1089.9999999999998,0.0,600.0,56680.0,0.044814814814814814,4.481481481481482,1.7189713007827059,171.89713007827058
753,2023-06-30,1000,TQQQ,40.4,41.35,40.29,41.0,91993400,1.06,0.6,Buy,41000.0,73550.0,600.0000000000014,Win,600.0000000000014,0.0,0.0,43890.0,0.5185185185185185,51.85185185185185,1.7413343272456205,174.13343272456206
