RegionID,SizeRank,RegionName,RegionType,StateName,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023
24,25,Kentucky,state,,"247,936.63","248,424.37","248,809.33","249,515.68","250,459.27","251,649.65","252,800.46","253,897.19","255,126.85","256,134.33","256,922.48","257,651.65","259,000.99","261,259.53","264,448.23","268,076.20","271,995.25","275,659.48","278,932.04","282,003.75","284,937.47","288,095.55","291,679.99","295,616.29","298,565.63","299,832.45","299,698.15","299,982.66","301,287.31","303,616.83","307,699.67","312,789.27","318,802.11","324,684.29","329,825.53","334,138.90","336,128.13","336,418.40","335,282.32","334,771.39","334,789.28","334,631.73","334,240.68","333,792.89","334,111.52","334,381.69","335,042.25","335,742.52","336,472.25"
46,26,Oregon,state,,"542,096.21","542,478.29","542,797.20","543,805.06","545,589.59","548,042.99","551,062.62","554,319.76","557,949.12","560,929.76","562,168.51","562,034.19","562,098.60","564,987.07","571,266.02","580,011.85","590,266.73","600,646.35","610,790.29","621,348.09","632,535.44","644,567.50","656,822.34","668,072.31","677,460.09","683,674.99","688,401.44","693,004.95","698,679.35","704,995.08","712,962.53","723,238.30","736,348.23","750,501.02","762,942.73","770,875.34","770,429.62","763,143.04","752,269.96","744,322.48","738,820.72","733,934.99","728,288.51","723,226.33","720,417.59","719,648.11","721,154.70","723,905.99","726,966.48"
45,27,Oklahoma,state,,"239,865.36","240,579.16","240,958.77","241,671.03","242,864.91","244,455.12","245,904.91","247,002.45","247,869.57","248,450.94","248,581.05","248,633.58","249,500.74","251,388.98","254,329.43","257,540.20","261,344.72","265,100.52","268,738.01","272,047.06","275,188.85","278,530.90","282,316.17","286,519.08","289,920.50","292,519.44","294,127.94","296,349.82","299,132.00","302,679.82","307,449.52","312,588.55","318,298.28","323,828.08","328,904.42","333,443.24","336,129.39","337,267.38","336,926.14","336,716.17","336,748.00","336,590.16","334,816.70","333,111.87","332,270.02","333,152.99","334,528.57","335,952.79","337,120.52"
11,28,Connecticut,state,,"460,654.36","460,301.97","459,622.60","459,287.56","459,277.44","459,803.23","460,738.40","462,045.72","463,828.06","465,139.60","465,283.47","464,486.40","463,866.87","465,676.97","470,477.69","477,803.86","486,645.46","496,100.06","505,243.45","514,336.47","522,909.39","531,667.81","540,291.17","548,537.72","554,526.65","557,430.58","557,931.91","558,491.55","560,639.60","564,443.69","570,557.14","578,303.24","588,073.93","598,132.00","608,455.59","617,496.03","623,271.80","624,437.71","622,364.92","620,514.42","620,152.99","619,586.29","619,038.48","619,185.32","621,634.58","625,298.37","629,844.97","635,656.88","642,933.55"
55,30,Utah,state,,"510,970.22","512,294.09","513,970.03","516,176.98","519,000.25","522,729.27","526,771.78","531,399.50","536,226.38","540,695.86","543,109.11","543,942.03","544,936.51","548,522.31","555,374.32","564,856.71","575,989.18","587,544.88","599,078.23","610,927.01","623,528.40","638,204.74","655,063.40","671,967.46","686,251.95","697,079.03","705,641.59","712,990.93","719,465.38","726,015.78","735,978.66","749,948.10","767,325.61","784,913.94","799,191.45","807,208.19","805,456.04","796,528.73","783,943.04","773,456.58","765,204.29","757,331.09","751,591.71","746,830.38","745,559.46","744,251.09","745,059.10","747,238.60","750,448.55"
19,31,Iowa,state,,"284,286.87","285,064.58","285,348.63","285,997.78","286,660.63","287,434.22","287,082.23","286,875.49","287,113.68","287,913.04","288,888.03","289,691.95","291,250.13","293,261.47","296,311.48","299,460.34","302,488.57","304,769.53","306,648.10","308,584.05","310,653.81","313,638.30","317,384.26","321,408.09","324,415.13","325,713.66","325,983.46","326,710.25","328,600.07","331,325.67","335,428.04","340,123.10","345,986.18","352,082.07","358,284.60","363,598.60","366,776.46","367,840.07","367,634.08","367,707.85","367,986.51","367,519.44","364,452.79","361,232.41","359,614.76","360,919.41","363,190.33","365,394.26","367,464.92"
42,32,Nevada,state,,"449,765.04","450,783.67","451,603.96","452,420.12","453,423.55","454,663.77","456,647.34","459,177.27","462,154.41","464,533.65","465,122.00","464,812.25","465,215.34","467,593.04","471,946.50","477,239.25","483,853.20","490,960.34","498,155.78","505,825.50","514,142.75","524,021.16","534,851.17","546,206.37","556,730.27","565,684.87","573,140.28","579,515.96","586,103.81","592,619.98","601,291.31","611,605.40","623,763.72","635,212.74","645,122.25","652,319.69","654,556.77","651,335.84","643,421.26","635,192.76","627,438.86","620,398.75","612,943.34","606,760.06","602,849.84","601,266.40","601,146.21","602,829.12","605,931.12"
6,33,Arkansas,state,,"244,785.08","245,361.38","245,588.72","246,077.52","246,861.26","247,874.09","248,827.53","249,849.18","251,016.94","252,296.09","253,166.93","253,925.03","255,059.67","257,067.81","260,041.17","263,229.89","266,686.35","269,759.95","272,661.55","275,554.09","278,791.27","282,622.42","286,960.68","291,747.46","296,424.96","300,460.36","303,452.09","306,203.40","309,384.48","313,228.98","317,788.63","322,506.15","327,625.45","333,370.45","338,856.32","343,514.69","345,511.60","345,810.82","344,819.55","344,376.26","343,936.23","343,414.84","343,216.23","343,525.58","344,656.22","345,015.97","345,470.19","346,020.46","346,976.60"
34,34,Mississippi,state,,"236,151.12","236,648.25","237,022.61","237,734.32","238,670.25","239,673.55","240,219.74","240,592.06","241,165.44","241,796.80","242,168.37","242,385.90","243,427.85","245,452.81","248,207.50","250,604.18","253,038.74","255,200.22","257,559.25","259,866.56","262,170.91","264,909.15","268,254.07","271,987.06","275,141.67","277,192.41","278,250.45","279,895.12","283,046.95","287,082.24","291,181.32","294,489.81","297,976.39","301,543.81","304,894.64","308,073.30","309,919.65","310,504.42","309,528.00","308,476.19","307,425.40","306,524.28","306,020.36","305,773.07","306,060.76","306,251.09","306,707.25","306,946.45","306,891.21"
23,35,Kansas,state,,"298,486.22","299,142.04","299,321.71","299,761.81","300,835.92","302,470.21","301,908.55","299,392.59","295,817.82","293,607.93","292,086.81","291,132.37","291,349.43","293,376.78","297,687.27","302,931.49","308,562.84","313,247.72","317,554.70","321,882.08","326,590.68","331,751.89","337,334.94","342,709.70","346,267.15","347,594.78","347,036.27","346,725.00","347,410.27","349,427.44","354,319.47","360,969.24","369,589.58","378,035.70","385,677.87","391,498.37","394,363.53","394,758.56","393,330.87","392,508.55","392,276.90","392,312.80","390,359.43","388,217.58","386,991.61","387,996.36","390,276.83","393,246.29","396,516.30"
41,36,New Mexico,state,,"328,609.42","330,010.00","331,057.33","332,213.21","333,868.43","336,087.03","338,140.26","339,765.62","341,457.43","343,261.33","344,908.05","346,435.53","348,430.81","351,429.26","355,619.68","360,671.24","365,862.10","370,777.13","375,363.39","380,529.01","385,798.31","391,636.96","397,567.14","403,282.36","407,923.35","411,321.40","413,788.95","416,065.36","418,943.55","422,439.40","427,318.85","433,600.58","441,750.55","450,006.56","457,255.63","463,067.56","466,140.34","466,344.76","463,931.22","461,768.93","459,952.18","458,433.37","456,843.27","456,220.62","456,990.26","458,731.97","461,132.55","464,004.12","466,982.54"
38,37,Nebraska,state,,"292,583.29","293,463.77","294,043.21","294,907.29","295,979.28","297,248.59","298,561.14","299,916.96","301,476.02","302,759.42","303,578.65","304,200.71","305,236.71","307,442.97","310,810.29","314,619.65","318,604.34","322,426.64","326,470.31","330,715.53","334,804.74","339,248.80","344,069.77","348,959.20","352,072.92","353,024.74","352,378.42","352,623.18","354,747.03","358,478.52","365,110.57","373,553.92","383,628.66","392,755.65","399,937.68","405,375.72","407,641.97","407,633.44","406,229.52","406,156.46","406,945.11","407,733.37","408,314.18","409,534.05","411,467.53","413,457.99","415,188.04","416,923.05","418,351.70"
20,38,Idaho,state,,"434,151.39","437,667.25","440,797.46","444,281.62","447,807.63","451,909.15","455,873.85","460,485.22","465,557.46","470,813.88","474,817.64","477,568.94","480,658.09","485,990.15","494,708.60","506,322.92","520,782.83",,"554,480.81","572,258.10","590,913.58","611,663.85","633,709.89","653,695.67","667,776.44","675,601.42","679,465.21","682,843.03","686,803.52","691,880.43","699,945.17","711,885.29","727,233.52","743,838.30","757,165.09","765,457.01","764,338.60","756,678.83","744,665.89","734,133.10","724,579.13","714,105.76","701,236.18","689,851.50","682,444.55","680,080.26","680,575.28","683,800.56","688,036.78"
61,39,West Virginia,state,,"211,700.73","211,768.55","211,808.92","212,120.46","212,843.05","213,754.73","214,590.05","215,607.88","216,913.29","218,112.93","218,769.42","219,067.49","219,659.69","221,092.20","223,437.69","226,315.30","229,730.44","233,163.06","236,515.31","239,712.15","242,863.88","245,941.64","249,035.32","252,343.45","254,611.53","255,521.76","254,955.73","254,851.96","255,684.56","257,370.07","260,783.75","264,975.60","269,804.72","274,216.58","277,875.80","281,111.46","282,448.80","282,593.14","281,401.01","280,674.63","280,024.06","279,517.70","278,503.16","277,985.85","278,070.62","278,904.26","279,910.54","280,990.62","281,664.08"
18,40,Hawaii,state,,"997,532.19","996,376.94","994,597.00","993,116.87","993,899.58","995,816.42","998,318.81","1,000,900.26","1,003,368.44","1,005,565.87","1,005,112.27","1,002,985.28","1,001,822.14","1,004,429.69","1,012,069.55","1,021,824.27","1,034,391.09","1,047,275.70","1,059,572.92","1,071,982.91","1,084,865.39","1,102,225.15","1,123,303.71","1,147,954.31","1,168,161.79","1,180,965.91","1,189,898.89","1,201,537.19","1,218,208.22","1,236,619.44","1,263,513.65","1,296,810.05","1,336,869.37","1,369,481.58","1,394,441.35","1,409,236.39","1,413,837.80","1,407,615.84","1,393,937.59","1,381,951.40","1,375,141.68","1,368,592.92","1,358,367.41","1,345,974.32","1,338,479.60","1,337,605.94","1,341,122.84","1,346,472.05","1,353,096.83"
39,41,New Hampshire,state,,"445,571.39","447,273.32","448,369.19","449,518.24","451,090.52","453,024.61","455,179.05","457,485.30","460,272.69","462,889.99","464,875.56","466,427.55","468,218.38","472,035.59","478,521.22","487,065.73","496,686.97","506,419.18","515,752.44","525,501.75","535,242.03","546,524.64","558,390.06","570,110.39","578,865.75","583,048.27","583,932.36","584,346.91","586,648.82","590,476.03","598,311.31","610,041.94","626,032.72","642,221.70","655,510.75","664,662.74","667,937.77","666,871.99","662,890.49","660,375.44","659,908.15","659,535.40","656,917.99","653,516.19","651,891.01","652,675.95","656,020.43","660,993.35","667,481.47"
28,42,Maine,state,,"401,574.89","402,921.35","404,057.48","405,907.82","407,952.32","410,013.90","412,029.52","414,480.12","417,641.72","420,574.35","422,570.51","424,301.20","426,637.39","430,992.68","437,487.68","445,494.17","454,778.31","464,531.63","473,998.23","483,430.05","492,637.54","503,308.44","515,089.12","527,459.88","538,208.42","544,822.72","548,162.88","549,802.82","552,721.24","556,659.09","563,328.91","572,657.12","585,545.06","600,074.68","613,820.59","624,621.66","628,939.87","627,216.32","621,707.63","617,517.09","615,498.22","613,851.48","612,263.24","610,563.20","611,085.91","613,784.30","619,720.92","627,342.74","634,880.35"
50,43,Rhode Island,state,,"475,859.97","476,208.72","476,562.43","477,673.69","479,829.50","482,126.79","484,734.00","487,202.32","490,249.24","493,001.67","494,204.48","494,148.28","493,982.41","496,272.45","501,582.36","509,547.93","519,217.96","529,468.17","539,019.26","548,657.07","558,009.72","568,751.84","579,959.75","590,591.95","598,733.75","603,546.70","606,527.32","609,061.97","612,600.79","616,831.62","623,498.19","633,137.91","646,245.88","660,235.22","673,199.76","683,873.12","688,773.62","687,956.74","683,115.58","680,100.82","679,039.07","678,280.12","677,031.68","675,902.87","676,971.07","679,400.71","683,538.35","688,206.42","693,374.00"
35,44,Montana,state,,"455,253.62","457,231.58","458,748.98","460,037.06","461,303.25","463,417.46","466,843.18","471,151.68","476,519.70","481,248.24","484,061.14","484,844.91","486,320.59","490,802.52","498,516.51","507,776.37","519,332.18","532,555.32","546,049.84","559,679.67","574,092.28","591,747.36","611,490.04","630,699.84","645,326.08","655,152.61","661,076.40","666,528.29","672,518.47","680,302.36","693,826.34","711,104.58","733,917.32","758,602.20","780,710.24","797,503.80","802,027.55","798,080.88","786,599.09","776,446.65","768,169.20","760,877.25","752,390.21","743,835.36","735,929.37","730,573.62","728,970.36","730,999.69","734,964.70"
13,45,Delaware,state,,"406,052.47","405,960.39","405,654.96","405,131.70","404,881.95","405,303.79","405,883.83","407,103.38","408,910.85","410,495.54","410,697.11","410,157.93","410,477.49","412,595.33","416,728.05","422,100.40","428,756.24","436,452.88","444,279.39","452,360.38","459,589.35","467,297.98","475,321.25","483,254.96","490,174.71","495,564.06","499,669.95","504,040.69","509,377.31","515,393.13","521,533.21","527,808.36","535,442.60","544,365.96","552,297.08","558,345.72","559,819.16","558,626.65","555,266.02","553,891.77","553,460.17","553,107.18","551,942.09","551,737.13","554,304.98","558,072.90","562,721.25","567,750.51","573,075.97"
52,46,South Dakota,state,,"330,839.29","332,676.42","333,772.99","334,986.37","336,176.23","337,734.42","338,764.26","339,547.27","340,560.28","341,989.98","343,380.68","344,530.12","346,255.54","349,299.26",,"358,666.97","363,937.48","369,045.75","374,142.74","379,193.41","383,328.12","388,486.66","395,163.52","403,192.16","410,635.45","415,422.01","417,946.18","420,262.44","423,956.50","429,523.82","438,236.84","448,121.41","459,731.89","471,040.83","481,494.38","490,570.01","495,028.84","496,166.05","494,112.92","493,386.35","492,910.53","491,886.96","489,392.05","487,710.17","487,349.26","488,148.30","488,856.18","489,683.99","489,908.54"
37,47,North Dakota,state,,"327,716.34","328,777.25","329,355.95","330,096.43","331,290.51","332,544.60","332,950.11","332,806.09","332,720.02","333,169.73","333,602.71","334,035.29","334,738.63","336,236.01","338,739.32","340,670.11","342,374.88","343,399.78","344,702.87","346,108.27","347,346.33","349,448.03","352,581.88","356,460.83","359,655.92","361,534.82","362,182.70","363,048.83","364,584.62","367,104.84","370,636.39","373,365.60","376,283.42","379,389.78","382,946.23","386,498.77","388,023.21","388,597.40","387,808.66","388,227.78","389,085.63","389,414.93","388,808.33","387,649.20","387,438.11","387,258.66","387,804.74","389,199.34","391,125.54"
3,48,Alaska,state,,"433,712.32","434,705.03","435,898.35","437,220.83","438,880.03","440,428.44","441,886.67","442,831.88","443,203.82","442,396.70","440,464.86","438,134.22","436,857.16","437,952.84","440,778.17","443,951.33","447,022.48","449,468.34","451,424.78","452,903.73","454,120.97","456,117.63","459,467.05","463,484.38","468,859.48","473,163.24","477,043.22","479,560.33","481,382.64","483,523.81","485,120.54","486,362.56","488,444.78","492,001.52","497,083.03","501,584.31","504,337.65","505,325.91","504,125.17","502,349.75","500,557.19","498,297.09","496,037.98","494,650.05","495,829.38","497,785.37","499,423.68","501,092.63","502,421.88"
12,49,District of Columbia,state,,"971,671.63","972,146.12","972,330.66","973,041.65","974,158.22","976,061.33","979,492.16","984,786.93","993,080.90","1,001,393.29","1,006,665.87","1,006,560.20","1,006,160.34","1,009,108.67","1,016,323.47","1,023,428.99","1,030,804.05","1,037,180.81","1,042,213.16","1,047,423.23","1,054,950.38","1,066,283.98","1,080,955.46","1,096,149.95","1,106,587.29","1,109,292.83","1,107,252.59","1,105,634.00","1,106,268.94","1,107,628.07","1,111,330.68","1,120,061.36","1,136,741.38","1,155,021.24","1,168,330.30","1,173,285.52","1,168,285.83","1,155,971.22","1,137,534.09","1,123,897.17","1,115,926.32","1,111,585.19","1,105,122.01","1,099,559.93","1,097,526.83","1,100,225.81","1,104,442.92","1,109,570.05","1,114,137.37"
58,50,Vermont,state,,"427,492.64","428,204.17","428,880.24","430,077.53","431,738.95","433,960.99","436,460.91","438,924.28","440,942.05","441,903.18","442,045.43","442,072.54","442,970.23","446,370.98","452,843.75","459,797.29","466,583.52","473,111.98","480,748.03","489,287.95","496,510.42","503,234.19","511,478.33","521,673.13","532,241.96","538,012.99","540,659.13","541,569.06","544,286.59","547,865.40","555,013.32","564,404.46","576,310.15","588,043.68","598,041.83","606,118.03","609,525.56","608,244.27","604,159.20","600,997.90","600,232.57","598,551.47","600,209.28","601,475.03","604,299.69","603,100.96","602,994.98","603,516.21","605,181.04"
62,51,Wyoming,state,,"412,432.59","415,873.30","417,936.26","419,819.46","421,863.59","424,656.42","426,942.50","428,838.45","430,830.24","432,990.94","434,800.75","435,854.09","437,023.55","439,331.85","443,268.16","448,117.67","454,250.32","460,580.58","466,513.40","472,196.78","477,648.72","484,124.67","490,922.09","497,378.13","503,002.15","507,208.24","510,756.00","515,007.58","520,451.85","526,635.63","534,069.42","541,513.46","551,152.19","561,329.33","571,006.43","579,349.23","583,354.36","583,856.67","581,273.91","580,633.08","581,581.94","582,055.77","580,391.92","579,405.52","579,896.73","582,023.75","583,969.14","586,386.41","588,960.40"